BlockID;GeoJson;Basin;BlockStatus;BlockDescription;BlockName;BlockArea
CL1;"{""type"":""Feature"",""geometry"":{""type"": ""Polygon"", ""coordinates"": [[[108.45, 10.621461], [108.4749, 10.639819], [108.4935, 10.64275], [108.4944, 10.635131], [108.4861, 10.6286], [108.4902, 10.62075], [108.4652, 10.6], [108.45, 10.6], [108.45, 10.621461]]]}}";Cuu Long;Close;Lô 01/97 nằm ở ngoài khơi Việt Nam, thuộc bể Cửu Long, ranh giới tiếp giáp với các lô 01&02, 15-1, 01/10, có diện tích khoảng 13,89 km2. Hiện tại lô 01/97 đang được điều hành bởi PVEP.;01/97;13.89
CL10;"{""type"":""Feature"",""geometry"":{""type"": ""Polygon"", ""coordinates"": [[[108.45, 10.883333], [108.45, 10.655833], [108.334167, 10.525833], [108.334167, 10.4725], [108.2575, 10.386667], [108.2575, 10.183333], [107.714528, 10.183333], [107.714528, 10.413778], [108, 10.533333], [108.45, 10.883333]]]}}";Cuu Long;Close;Lô 15-1/05 nằm ở ngoài khơi Việt Nam, thuộc bể Cửu Long, ranh giới tiếp giáp với các lô 01/10, 15-1, 15-2/17, 15-1/15, có diện tích khoảng 3.077 km2. Hiện tại lô 15-1/05 được điều hành bởi Murphy.;15-1/05;3,077.00
CL11;"{""type"":""Feature"",""geometry"":{""type"": ""Polygon"", ""coordinates"": [[[107.166667, 10.183333], [107.714528, 10.413778], [107.714528, 10.183333], [107.166667, 10.183333]]]}}";Cuu Long;Open;Lô 15-1/15 nằm ở ngoài khơi Việt Nam, thuộc bể Cửu Long, ranh giới tiếp giáp với các lô 15-1/05, 15-2/17, có diện tích khoảng 768,2 km2.;15-1/15;768.20
CL12;"{""type"":""Feature"",""geometry"":{""type"": ""Polygon"", ""coordinates"": [[[108.45, 10.139583], [108.45, 10], [108.383333, 10], [108.383333, 9.985742], [108.282333, 9.9], [108.183333, 9.9], [108.183333, 10], [108.45, 10.139583]]]}}";Cuu Long;Close;Lô 15-2 nằm ở ngoài khơi Việt Nam, thuộc bể Cửu Long, ranh giới tiếp giáp với các lô 01&02, 02/10, 09-2/09, 09-2, 09-2/10, 15-2/17, có diện tích khoảng 417,5 km2. Hiện tại lô 15-2 được điều hành bởi JVPC.;15-2;417.50
CL13;"{""type"":""Feature"",""geometry"":{""type"": ""Polygon"", ""coordinates"": [[[107.893333, 10.120833], [108.005556, 10.175833], [108.074722, 10.175833], [108.074722, 10.15], [108.042778, 10.128611], [108.003333, 10.067222], [108.003333, 10], [107.890556, 10], [107.893333, 10.120833]]]}}";Cuu Long;Close;Lô 15-2/01 nằm ở ngoài khơi Việt Nam, thuộc bể Cửu Long, ranh giới tiếp giáp với các lô 15-2/17, 16-1, 16-1/15, có diện tích khoảng 251,5 km2. Hiện tại lô 15-2/01 được điều hành bởi Thang Long JOC.;15-2/01;251.50
CL14;"{""type"":""Feature"",""geometry"":{""type"": ""Polygon"", ""coordinates"": [[[107.033333, 10], [107.1, 10.15], [107.166667, 10.183333], [108.45, 10.183333], [108.45, 10.139583], [108.183333, 10], [108.003333, 10], [108.003333, 10.067222], [108.042778, 10.128611], [108.074722, 10.15], [108.074722, 10.175833], [108.005556, 10.175833], [107.893333, 10.120833], [107.890556, 10], [107.033333, 10]]]}}";Cuu Long;Close;Lô 15-2/17 nằm ở ngoài khơi Việt Nam, thuộc bể Cửu Long, ranh giới tiếp giáp với các lô 15-1/15, 15-1/05, 15-1, 01&02, 15-2, 09-2/10, 16-1, 16-1/15, DBSCL-02, có diện tích khoảng 2.587 km2. Hiện tại lô 15-2/17 được điều hành bởi Murphy.;15-2/17;2,587.00
CL15;"{""type"":""Feature"",""geometry"":{""type"": ""Polygon"", ""coordinates"": [[[108.383333, 9.985972], [108.383333, 9.9], [108.282333, 9.9], [108.383333, 9.985972]]]}}";Cuu Long;Open;Lô 15-2/14 nằm ở ngoài khơi Việt Nam, thuộc bể Cửu Long, ranh giới tiếp giáp với các lô 15-2, 09-2/09, có diện tích khoảng 52,88 km2.;15-2/14;52.88
CL16;"{""type"":""Feature"",""geometry"":{""type"": ""Polygon"", ""coordinates"": [[[107.921529, 10], [108.003333, 10], [108.003333, 9.967323], [107.951018, 9.847803], [107.851667, 9.873889], [107.921529, 10]]]}}";Cuu Long;Close;Lô 16-1 nằm ở ngoài khơi Việt Nam, thuộc bể Cửu Long, ranh giới tiếp giáp với các lô 15-2/01, 09-2/10, 16-1/15, có diện tích khoảng 173,6 km2. Hiện tại lô 16-1 được điều hành bởi Hoang Long JOC.;16-1;173.60
CL17;"{""type"":""Feature"",""geometry"":{""type"": ""Polygon"", ""coordinates"": [[[107.227195, 10], [107.921529, 10], [107.851667, 9.873889], [107.951018, 9.847803], [108.003333, 9.967323], [108.003333, 9.92], [107.998983, 9.922142], [107.897776, 9.703333], [107.775, 9.703333], [107.775, 9.735], [107.093664, 9.735], [107.227195, 10]]]}}";Cuu Long;Close;Lô 16-1/15 nằm ở ngoài khơi Việt Nam, thuộc bể Cửu Long, ranh giới tiếp giáp với các lô 15-2/17, 15-2/01, 16-1, 09-2/10, 09-1, 16-2, DBSCL-02, có diện tích khoảng 3.115 km2. Hiện tại lô 16-1/15 được điều hành bởi Vietsovpetro.;16-1/15;3,115.00
CL18;"{""type"":""Feature"",""geometry"":{""type"": ""Polygon"", ""coordinates"": [[[106.9, 9.735], [107.775, 9.735], [107.775, 9.703333], [107.897776, 9.703333], [107.875669, 9.655496], [107.770684, 9.592166], [107.770694, 9.5], [106.783333, 9.5], [106.9, 9.735]]]}}";Cuu Long;Close;Lô 16-2 nằm ở ngoài khơi Việt Nam, thuộc bể Cửu Long, ranh giới tiếp giáp với các lô 16-1/15, 09-1, 09-3/12, 17, 25, DBSCL-02, có diện tích khoảng 2.771 km2. Hiện tại lô 16-2 được điều hành bởi PVEP POC.;16-2;2,771.00
