Well_index;WellName;Latitude;Longtitude;GeoJson;FieldID;OperatorID;WellAlias;WellType;WellUWI
0;15-2-RANGDONG-E-25P;9.98;108.29;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.29,9.98]}}";P110;JVPC;15-2-RD-E-25P;PRO;15-2-RD-E-25P
1;09-2-CANGUVANG-5PST2;9.85;108.16;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.16,9.85]}}";P51;HOAN_VU_JOC;09-2-CNV-5PST2;PRO;09-2-CNV-5PST2
10;15-1-SUTUNAUSOUTH-5AP;10.55;108.4;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.4,10.55]}}";P249;CUU_LONG_JOC;SNS-5AP;PRO;15-1-SNS-5AP
100;09-2-CANGUVANG-2P (RE);9.85;108.16;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.16,9.85]}}";P51;HOAN_VU_JOC;09-2-CNV-2P (RE);PRO;09-2-CNV-2P (RE)
101;09-2-CANGUVANG-2P;9.85;108.16;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.16,9.85]}}";P51;HOAN_VU_JOC;09-2-CNV-2P;PRO;09-2-CNV-2P
102;09-2-CANGUVANG-1PST1;9.85;108.16;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.16,9.85]}}";P51;HOAN_VU_JOC;09-2-CNV-1PST1;PRO;09-2-CNV-1PST1
103;RONG-317;9.46;107.96;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.96,9.46]}}";P33;VSP;RP3-R317;PRO;09-1-RP03-317
104;RONG-318;9.46;107.96;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.96,9.46]}}";P33;VSP;RP3-R318;PRO;09-1-RP03-318
105;BACHHO-BK10-10002;9.75;107.99;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[107.99,9.75]}}";P227;VSP;BK10-10002BT;PRO;09-1-BH-10002
106;BACHHO-MSP04-40;9.82;108.02;"{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[108.02,9.82]}}";P227;VSP;MSP-4-40BT;PRO;09-1-BH-40
