WellAlias,OperatorID,ProspectID,BlockID,BlockName
15-2-RD-E-25P,JVPC,P110,CL12,15-2
09-2-CNV-5PST2,HOAN_VU_JOC,P51,CL6,09-2
SNS-5AP,CUU_LONG_JOC,P249,CL9,15-1
09-2-CNV-2P_RE_,HOAN_VU_JOC,P51,CL6,09-2
09-2-CNV-2P,HOAN_VU_JOC,P51,CL6,09-2
09-2-CNV-1PST1,HOAN_VU_JOC,P51,CL6,09-2
RP3-R317,VSP,P33,CL41,
RP3-R318,VSP,P33,CL41,
BK10-10002BT,VSP,P227,CL5,09-1
MSP-4-40BT,VSP,P227,CL5,09-1
BK7-7009BT,VSP,P227,CL5,09-1
BK10-10001BT,VSP,P227,CL5,09-1
BK7-7008BT,VSP,P227,CL5,09-1
SNN-4P,CUU_LONG_JOC,P245,CL9,15-1
02/97-DD-1X,LAM_SON_JOC,P28,CL2,02/97
02/97-TL-2X,LAM_SON_JOC,P30,CL2,02/97
Moonstone-1X,PCVL,P8,CL39,
01-Diamond-3X,PCVL,P6,CL39,
JADE-2X,PCVL,P26,CL40,
Moonstone-1X,PCVL,P8,CL39,
09-3-DM-3X,VRJ,P228,CL8,09-3
01-RBB-9P,PCVL,P10,CL39,
RP3-R316,VSP,P33,CL41,
09-2-CNV-1P,HOAN_VU_JOC,P51,CL6,09-2
15-2-RD-20X,JVPC,P110,CL12,15-2
09-2-COD-2X,HOAN_VU_JOC,P50,CL6,09-2
RP3-R314,VSP,P33,CL41,
BK7-7007BT,VSP,P227,CL5,09-1
RP3-R309,VSP,P33,CL41,
RP3-R313,VSP,P33,CL41,
RP3-R311,VSP,P33,CL41,
BK7-7010BT,VSP,P227,CL5,09-1
BK5-5001BT,VSP,P227,CL5,09-1
MSP-8-817BT,VSP,P227,CL5,09-1
MSP-11-1120BT,VSP,P227,CL5,09-1
SVNE-3XP,CUU_LONG_JOC,P246,CL9,15-1
01/97-HX-1X,LAM_SON_JOC,P16,CL1,01/97
09-3-DM-2X,VRJ,P228,CL8,09-3
BH-23,VSP,P227,CL5,09-1
09-2-CNV-4XST,HOAN_VU_JOC,P51,CL6,09-2
01-RBB-8P,PCVL,P10,CL39,
01-RB-14XPST2,PCVL,P10,CL39,
09-2-CNV-4X,HOAN_VU_JOC,P51,CL6,09-2
01-Diamond-2X,PCVL,P6,CL39,
15-1-SD-21P,CUU_LONG_JOC,P87,CL9,15-1
01-RBB-7P,PCVL,P10,CL39,
15-2-RD-19X,JVPC,P110,CL12,15-2
15-1-SD-20P,CUU_LONG_JOC,P87,CL9,15-1
01-RBB-5P,PCVL,P10,CL39,
15-1-SD-19P,CUU_LONG_JOC,P87,CL9,15-1
15-1-SD-17P,CUU_LONG_JOC,P87,CL9,15-1
RONG-20,VSP,P33,CL41,
15-1-SD-18P,CUU_LONG_JOC,P87,CL9,15-1
RP3-R315,VSP,P33,CL41,
RP3-R304,VSP,P33,CL41,
RP3-R312,VSP,P33,CL41,
RP3-R307,VSP,P33,CL41,
15-2-RD-N-05I,JVPC,P110,CL12,15-2
RP3-R310,VSP,P33,CL41,
BK12-12001BT,VSP,P227,CL5,09-1
MSP-12-1202BT,VSP,P227,CL5,09-1
BK11-11002BT,VSP,P227,CL5,09-1
MSP-7-711BT,VSP,P227,CL5,09-1
MSP-10-1021BT,VSP,P227,CL5,09-1
MSP-4-92BT,VSP,P227,CL5,09-1
BK7-7005BT,VSP,P227,CL5,09-1
01-TN-3XST,PCVL,P13,CL39,
MSP-12-1201BT,VSP,P227,CL5,09-1
15-2-RD-C-04I,JVPC,P110,CL12,15-2
01-TN-3X,PCVL,P13,CL39,
BK7-7006BT,VSP,P227,CL5,09-1
01-RBB-4P_WO_,PCVL,P10,CL39,
01-RBB-3P,PCVL,P10,CL39,
01-RBB-1P,PCVL,P10,CL39,
01-RBB-2P,PCVL,P10,CL39,
15-2-RD-E-10P,JVPC,P110,CL12,15-2
15-2-PD-3X_PD-1P_,JVPC,P109,CL12,15-2
16-1-TGT-1X,HOANG_LONG_JOC,P130,CL16,16-1
09-2-CNV-3X,HOAN_VU_JOC,P51,CL6,09-2
15-2-RD-21X,JVPC,P110,CL12,15-2
15-1-ST-2X,CUU_LONG_JOC,P89,CL9,15-1
15-2-RD-E-03I,JVPC,P110,CL12,15-2
15-1-SV-5X,CUU_LONG_JOC,P90,CL9,15-1
15-2-RD-E-03IRD,JVPC,P110,CL12,15-2
15-1-SD-14PST,CUU_LONG_JOC,P87,CL9,15-1
15-1-SD-13I,CUU_LONG_JOC,P87,CL9,15-1
15-1-SN-1X,CUU_LONG_JOC,P88,CL9,15-1
15-1-SD-16I,CUU_LONG_JOC,P87,CL9,15-1
RP3-308,VSP,P33,CL41,
15-1-SD-AX(5X_,CUU_LONG_JOC,P87,CL9,15-1
15-2-DD-1X,JVPC,P107,CL12,15-2
15-1-SD-6X,CUU_LONG_JOC,P87,CL9,15-1
15-1-SD-12IST,CUU_LONG_JOC,P87,CL9,15-1
RP-1-119,VSP,P33,CL41,
RONG-23,VSP,P33,CL41,
RP3-306,VSP,P33,CL41,
RP3-301,VSP,P33,CL41,
BK7-7004,VSP,P227,CL5,09-1
BK9-9007BT,VSP,P227,CL5,09-1
MSP-9-925BT,VSP,P227,CL5,09-1
RP-1-118,VSP,P33,CL41,
15-2-RD-E-04I,JVPC,P110,CL12,15-2
BK7-7003BT,VSP,P227,CL5,09-1
MSP-7-707,VSP,P227,CL5,09-1
