"cr286_first_shot_point_id","importsequencenumber","cr286_last_shot_point_id","cr286_line_id","cr286_line_length_km","cr286_line_name","cr286_remarks","cr286_seismic_2d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_2d_seismic_acq_lineid","owningbusinessunit"
"","","","R001787","120.25","TC06-84-162","","D2TCVM2","1","0","","","2391085","53f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001785","16","TC06-82A-165","","D2TCVM2","1","0","","","2391084","52f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001786","94.53","TC06-83-163","","D2TCVM2","1","0","","","2391083","50f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001788","135.33","TC06-85-161","","D2TCVM2","1","0","","","2391082","51f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001782","27","TC06-81-166","","D2TCVM2","1","0","","","2391081","4df9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001783","54.93","TC06-81A-167","","D2TCVM2","1","0","","","2391080","4ff9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001784","79.8","TC06-82-164","","D2TCVM2","1","0","","","2391079","4ef9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001781","71.8","TC06-80-109","","D2TCVM2","1","0","","","2391078","4cf9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001777","112.05","TC06-76-097","","D2TCVM2","1","0","","","2391077","4bf9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001780","74.65","TC06-78-087","","D2TCVM2","1","0","","","2391076","4af9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001779","54.88","TC06-780-106","","D2TCVM2","1","0","","","2391075","48f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001778","144.48","TC06-76A-098","","D2TCVM2","1","0","","","2391074","49f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001774","83.93","TC06-73-108","","D2TCVM2","1","0","","","2391073","46f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001773","252.2","TC06-72-126","","D2TCVM2","1","0","","","2391072","45f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001775","46.95","TC06-74-120","","D2TCVM2","1","0","","","2391071","47f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001776","202.43","TC06-74A-121","","D2TCVM2","1","0","","","2391070","44f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001769","64","TC06-69C-122","","D2TCVM2","1","0","","","2391069","43f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001772","117.53","TC06-71-107","","D2TCVM2","1","0","","","2391068","41f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001771","96.68","TC06-70-116","","D2TCVM2","1","0","","","2391067","42f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001770","28.93","TC06-69D-123","","D2TCVM2","1","0","","","2391066","40f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001765","106.6","TC06-68-124","","D2TCVM2","1","0","","","2391065","3cf9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001768","154.8","TC06-69B-112","","D2TCVM2","1","0","","","2391064","3ef9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001766","142.48","TC06-68A-125","","D2TCVM2","1","0","","","2391063","3ff9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001767","65.38","TC06-69-110","","D2TCVM2","1","0","","","2391062","3df9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001761","83.55","TC06-65A-039","","D2TCVM2","1","0","","","2391061","3bf9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001764","126.13","TC06-67-150","","D2TCVM2","1","0","","","2391060","38f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001763","129.03","TC06-66-115","","D2TCVM2","1","0","","","2391059","39f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001762","10.78","TC06-65B-040","","D2TCVM2","1","0","","","2391058","3af9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001758","13.85","TC06-64-127","","D2TCVM2","1","0","","","2391057","36f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001757","207.1","TC06-63-037","","D2TCVM2","1","0","","","2391056","37f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001760","100.4","TC06-65-038","","D2TCVM2","1","0","","","2391055","35f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001759","255.6","TC06-64A-128","","D2TCVM2","1","0","","","2391054","34f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001756","150.05","TC06-62-072","","D2TCVM2","1","0","","","2391053","33f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001753","133.5","TC06-61-034","","D2TCVM2","1","0","","","2391052","32f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001755","91.93","TC06-61B-100","","D2TCVM2","1","0","","","2391051","30f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001754","37.85","TC06-61A-099","","D2TCVM2","1","0","","","2391050","31f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001752","185.98","TC06-60A-136","","D2TCVM2","1","0","","","2391049","2ef9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001749","41.83","TC06-59B-155","","D2TCVM2","1","0","","","2391048","2ff9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001750","135.9","TC06-59C-156","","D2TCVM2","1","0","","","2391047","2cf9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001751","168.33","TC06-60-130","","D2TCVM2","1","0","","","2391046","2df9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001747","23.9","TC06-59-153","","D2TCVM2","1","0","","","2391045","28f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001748","94.53","TC06-59A-154","","D2TCVM2","1","0","","","2391044","2bf9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001745","24","TC06-58-137","","D2TCVM2","1","0","","","2391043","29f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001746","168.85","TC06-58A-138","","D2TCVM2","1","0","","","2391042","2af9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001741","125.23","TC06-56B-135","","D2TCVM2","1","0","","","2391041","27f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001742","19.05","TC06-57-104","","D2TCVM2","1","0","","","2391039","26f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001744","69.3","TC06-57A-105","","D2TCVM2","1","0","","","2391038","25f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001743","260.45","TC06-57B-157","","D2TCVM2","1","0","","","2391037","24f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001737","101.33","TC06-54C-142","","D2TCVM2","1","0","","","2391036","23f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001738","329.43","TC06-55-152","","D2TCVM2","1","0","","","2391035","20f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001740","62.6","TC06-56A-134","","D2TCVM2","1","0","","","2391034","22f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001739","74","TC06-56-129","","D2TCVM2","1","0","","","2391033","21f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001734","91.6","TC06-54-139","","D2TCVM2","1","0","","","2391032","1ff9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001736","18","TC06-54B-141","","D2TCVM2","1","0","","","2391031","1ef9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001733","275.75","TC06-53B-071","","D2TCVM2","1","0","","","2391030","1df9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001735","22.9","TC06-54A-140","","D2TCVM2","1","0","","","2391029","1cf9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001731","54.93","TC06-53-022","","D2TCVM2","1","0","","","2391028","19f9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001729","16.75","TC06-52B-148","","D2TCVM2","1","0","","","2391027","1af9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","R001732","47.9","TC06-53A-023","","D2TCVM2","1","0","","","2391026","1bf9c9c9-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
