"cr286_active_channel","cr286_cable_length_m","cr286_date_of_acquisition_commence","cr286_date_of_acquisition_completion","cr286_fold_coverage_m","cr286_group_interval_m","importsequencenumber","cr286_number_of_lines","cr286_operator_id","cr286_record_length_ms","cr286_recording_format","cr286_remarks","cr286_sample_rate_ms","cr286_seismic_2d_survey_id","cr286_seismic_2d_survey_name","cr286_shotpoint_interval_m","cr286_source","cr286_source_depth_m","cr286_source_type","statuscode","statecode","timezoneruleversionnumber","cr286_total_length_km","utcconversiontimezonecode","versionnumber","cr286_vpins_2d_seismic_acquisitionid","cr286_water_depth_from_m","cr286_water_depth_to_m","owningbusinessunit"
"480","6000","2006-05-01 00:00:00.0000000","","120","12.5","","224","PVEP","8190","SEG-D","","2","D2TCVM2","PVEP06.TC.2D","25","BCA010047","6","G-Gun Airgun array","1","0","4","19945.68","","2389149","defed6b7-9bfa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"240","","1996-04-01 00:00:00.0000000","","","25","","","AEDC","6000","SEG-Y","","2","D2NCS19","AEDC96.05-3.2D","25","BC_AEDC05.3_067","6.7","Airgun","1","0","4","","","2389148","dafed6b7-9bfa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"240","3000","1996-05-01 00:00:00.0000000","1996-06-01 00:00:00.0000000","60","12.5","","26","VSP","5500","SEG-D","","2","D2CL14","VSP96.09.2D","25","BCA001855","6","Airgun array","1","0","4","248.03","","2389147","dcfed6b7-9bfa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"360","4500","2005-06-01 00:00:00.0000000","2005-07-01 00:00:00.0000000","","12.5","","24","IDEMITSU","6000","SEG-D","","2","D2NCS20","IDEMITSU05.05-1b&05-1c.2D","18.75","BCA001843","6","Airgun","1","0","4","500","","2389146","dbfed6b7-9bfa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"96","1200","2017-01-01 00:00:00.0000000","","","12.5","","64","IDEMITSU","2500","SEG-D","","1","D2MTC5","IDEMITSU17.39 & 40/02.2D","12.5","BCA012965","3","GI Guns","1","0","4","203.49","","2389145","ddfed6b7-9bfa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"320","","1992-10-01 00:00:00.0000000","","8000","12.5","","55","AEDC","6000","SEG-D","","2","D2NCS16","AEDC92.05-3.2D","25","BCA003322","6","Airgun","1","0","4","2473.82","","2389144","d7fed6b7-9bfa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"240","","1995-09-01 00:00:00.0000000","1995-09-08 00:00:00.0000000","","12.5","","","AEDC","6000","SEG-Y","","2","D2NCS17","AEDC95.05-3.2D","25","BC_AEDC05.3_054","5.5","Airgun","1","0","4","615.7","","2389143","d9fed6b7-9bfa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"320","","1992-10-01 00:00:00.0000000","","","12.5","","","AEDC","6000","SEG-D","","2","D2NCS18","AEDC92.05-3.2D","25","BC_AEDC05.3_055","6","Airgun","1","0","4","5000","","2389142","d8fed6b7-9bfa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"648","8100","2010-01-01 00:00:00.0000000","","","12.5","","5","PVEP","9000","SEG-D","","2","D2PK8","PVEP10.148&149.2D","25","BC_PVEP148-149_004","6","Airgun","1","0","4","600","","2389141","d6fed6b7-9bfa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"648","8100","2010-10-01 00:00:00.0000000","2011-07-01 00:00:00.0000000","162","12.5","","81","PVEP","9000","SEG-D","","2","D2PK7","PVEP10.148&149.2D","25","BC_PVEP148-149_002","6","","1","0","4","10160.4","","2389140","d3fed6b7-9bfa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
