"cr286_contractor_id","importsequencenumber","cr286_record_id","cr286_remarks","cr286_seismic_2d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_2d_seismic_contractorid","owningbusinessunit"
"SMNG","","R000057","","D2TCVM2","1","0","","","2389284","63ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"DIGICON","","R000053","","D2NCS19","1","0","","","2389283","62ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PTSC_GEO_SUBSEA","","R000055","","D2MTC5","1","0","","","2389282","61ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WESTERN_GEO","","R000056","","D2CL14","1","0","","","2389281","5fffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"VERITAS_DGC","","R000054","","D2NCS20","1","0","","","2389280","60ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CGG","","R000050","","D2NCS16","1","0","","","2389279","5cffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PTSC_GS","","R000049","","D2PK8","1","0","","","2389278","5dffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CGG","","R000052","","D2NCS18","1","0","","","2389277","5effd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"DIGICON","","R000051","","D2NCS17","1","0","","","2389276","5bffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","R000048","","D2PK7","1","0","","","2389275","5affd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"TOTAL","","R000045","","D2SH6","1","0","","","2389274","58ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"TOTAL","","R000046","","D2SH7","1","0","","","2389273","59ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PETRONAS","","R000047","","D2SH8","1","0","","","2389272","57ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PVN","","R000044","","D2MTC4","1","0","","","2389271","54ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"DMNG","","R000043","","D2PK6","1","0","","","2389270","56ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"DMNG","","R000042","","D2PK5","1","0","","","2389269","55ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"DMNG","","R000041","","D2PK4","1","0","","","2389268","53ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"DMNG","","R000040","","D2PK3","1","0","","","2389267","4fffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SMNG","","R000039","","D2CL13","1","0","","","2389266","52ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PVEP_POC","","R000038","","D2SH5","1","0","","","2389265","51ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CGG","","R000037","","D2SH4","1","0","","","2389264","50ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"DMNG","","R000033","","D2NCS12","1","0","","","2389263","4bffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"VERITAS","","R000034","","D2NCS13","1","0","","","2389262","4effd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SMNG","","R000035","","D2NCS14","1","0","","","2389261","4cffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"FURGO_GEO_AS","","R000036","","D2NCS15","1","0","","","2389260","4dffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CGG","","R000031","","D2CL11","1","0","","","2389259","47ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WESTERN_GEO","","R000032","","D2CL12","1","0","","","2389258","4affd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PTSC_CGGV","","R000030","","D2TCVM1","1","0","","","2389257","49ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PTSC_CGGV","","R000029","","D2SH3","1","0","","","2389256","48ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"PTSC_GS","","R000028","","D2PK2","1","0","","","2389255","46ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","R000026","","D2NCS11","1","0","","","2389254","45ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"GEO_COSL_EXP","","R000027","Viet - Trung - Phi","D2CL10","1","0","","","2389253","43ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CGG","","R000025","","D2NCS10","1","0","","","2389252","44ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"BP_EXP","","R000024","","D2NCS9","1","0","","","2389251","42ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"GECO_PRAKLA","","R000021","","D2MTC3","1","0","","","2389250","40ffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"GECO_PRAKLA","","R000023","","D2NCS8","1","0","","","2389249","3fffd6b7-9bfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
