"importsequencenumber","cr286_line_id","cr286_record_id","cr286_remarks","cr286_seismic_2d_processing_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_2d_seismic_pro_lineid","owningbusinessunit"
"","R000255","R000105","","P2NCS18","1","0","","","2350403","9df26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000952","R000102","","P2NCS16","1","0","","","2350400","9cf26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000951","R000101","","P2NCS16","1","0","","","2350399","9af26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000227","R000103","","P2NCS18","1","0","","","2350398","9bf26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000252","R000104","","P2NCS18","1","0","","","2350397","99f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000949","R000099","","P2NCS16","1","0","","","2350395","96f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000947","R000097","","P2NCS16","1","0","","","2350394","98f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000948","R000098","","P2NCS16","1","0","","","2350393","95f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000950","R000100","","P2NCS16","1","0","","","2350392","97f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000943","R000093","","P2NCS16","1","0","","","2350391","94f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000946","R000096","","P2NCS16","1","0","","","2350390","93f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000944","R000094","","P2NCS16","1","0","","","2350389","91f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000945","R000095","","P2NCS16","1","0","","","2350388","92f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000942","R000092","","P2NCS16","1","0","","","2350387","90f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000941","R000091","","P2NCS16","1","0","","","2350386","8ff26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000939","R000089","","P2NCS16","1","0","","","2350385","8df26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
