"importsequencenumber","cr286_record_id","cr286_remarks","cr286_seismic_2d_processing_id","cr286_seismic_2d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_2d_seismic_pro_surveyid","owningbusinessunit"
"","R000056","Processing","P2CL13","D2CL14","1","0","","","2350293","33f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000057","Processing","P2TCVM2","D2TCVM2","1","0","","","2350292","34f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000052","Reprocessing","P2NCS17","D2NCS7","1","0","","","2350291","2ff26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000053","Reprocessing","P2NCS18","D2NCS8","1","0","","","2350290","30f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000054","Processing","P2NCS19","D2NCS13","1","0","","","2350289","32f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000055","Processing","P2MTC5","D2MTC5","1","0","","","2350288","31f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000051","Reprocessing","P2NCS16","D2NCS9","1","0","","","2350287","2ef26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000049","Reprocessing","P2MTC4","D2MTC3","1","0","","","2350286","2df26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000048","Processing","P2PK8","D2PK1","1","0","","","2350285","2cf26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000050","Processing","P2NCS15","D2NCS10","1","0","","","2350284","2bf26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000047","Processing","P2MTC3","D2MTC2","1","0","","","2350283","27f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000046","Processing","P2MTC2","D2MTC1","1","0","","","2350282","29f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000045","Processing","P2CL12","D2CL9","1","0","","","2350281","2af26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000044","Processing","P2CL11","D2CL8","1","0","","","2350280","28f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000040","Processing","P2NCS12","D2NCS3","1","0","","","2350279","26f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000041","Processing","P2NCS13","D2NCS2","1","0","","","2350278","25f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000042","Processing","P2NCS14","D2NCS4","1","0","","","2350277","23f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000043","","P2SH10","D2SH1","1","0","","","2350276","24f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000037","Processing","P2NCS9","","1","0","","","2350275","22f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000038","Re-processing","P2NCS10","D2NCS16","1","0","","","2350274","20f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000036","Processing","P2NCS8","D2NCS16","1","0","","","2350273","21f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000039","Processing","P2NCS11","","1","0","","","2350272","1ff26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000033","Re-processing","P2SH9","","1","0","","","2350271","1ef26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000034","Re-processing","P2PK6","D2PK7","1","0","","","2350270","1bf26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000032","Processing","P2MTC1","","1","0","","","2350269","1df26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000035","Re-processing","P2PK7","D2PK7","1","0","","","2350268","1cf26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000031","Processing","P2PK5","D2PK6","1","0","","","2350267","17f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000029","Processing","P2PK3","D2PK4","1","0","","","2350266","1af26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000030","Processing","P2PK4","D2PK4","1","0","","","2350265","19f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000028","Re-processing","P2PK2","D2PK3","1","0","","","2350264","18f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000025","Processing","P2SH7","D2SH4","1","0","","","2350263","16f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000024","Processing","P2NCS7","D2NCS15","1","0","","","2350262","15f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000027","Processing","P2CL10","D2CL13","1","0","","","2350261","14f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000026","Processing","P2SH8","D2SH5","1","0","","","2350260","13f26faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
