"cr286_contractor_id","cr286_date_of_processing_commence","cr286_date_of_processing_completion","importsequencenumber","cr286_number_of_lines","cr286_operator_id","cr286_processing_result","cr286_processing_type","cr286_remarks","cr286_seismic_2d_processing_id","cr286_seismic_2d_processing_name","statuscode","statecode","timezoneruleversionnumber","cr286_total_length_m","utcconversiontimezonecode","versionnumber","cr286_vpins_2d_seismic_processingid","owningbusinessunit"
"FAIRFIELD_VN","2006-10-07 00:00:00.0000000","2007-04-10 00:00:00.0000000","","224","PVEP","","","Processing","P2TCVM2","PVEP06.TC.2D/PVEP06","1","0","4","19000","","2350225","f4f16faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WESTERN_GEO","1996-07-08 00:00:00.0000000","1997-04-01 00:00:00.0000000","","26","VSP","Final migration","","Processing","P2CL13","VSP96.09.2D/VSP96","1","0","4","248.03","","2350224","f2f16faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"GOLDEN_PAC","","","","24","IDEMITSU","PSTM","Time","Processing","P2NCS19","IDEMITSU05.05-1b&05-1c.2D/IDEMITSU05","1","0","","500","","2350223","f3f16faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"KL_DIGITAL_CENTER_TEK","1993-04-01 00:00:00.0000000","1993-08-01 00:00:00.0000000","","113","LASMO_INT","Migration","Time","Reprocessing","P2NCS18","LASMO93.04-2.2D/AGIP78/LASMO92/LASMO93","1","0","4","4297.42","","2350222","f0f16faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"SONOFERA_GEOSAINS_INDO","2017-03-27 00:00:00.0000000","2017-04-05 00:00:00.0000000","","64","IDEMITSU","PSTM","Time","Processing","P2MTC5","IDEMITSU17.39 & 40/02.2D/IDEMITSU17","1","0","4","203.49","","2350221","f1f16faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"GECO_PRAKLA","1995-03-01 00:00:00.0000000","1995-06-01 00:00:00.0000000","","31","LASMO_INT","Migration","Time","Reprocessing","P2NCS17","LASMO95.04-2.2/LASM92/LASMO93","1","0","4","781.48","","2350220","eff16faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"GECO_PRAKLA","1994-07-19 00:00:00.0000000","1994-08-15 00:00:00.0000000","","19","PEDCO","Post Mgration","Time","Processing","P2NCS15","PEDCO94/1994M2D","1","0","4","749.65","","2350219","eef16faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"GECO_PRAKLA","1999-04-12 00:00:00.0000000","1999-07-15 00:00:00.0000000","","","UNOCAL_VN_EXP","Stack & Migration","Time","Reprocessing","P2MTC4","UNOCAL99.48/95.2D/UNOCAL90","1","0","4","","","2350218","edf16faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"FAIRFIELD_VN","1905-07-04 00:00:00.0000000","","","42","TALISMAN_VN","Final PSTM Far Angle Stack","Time","Reprocessing","P2NCS16","TALISMAN12.05-2.2D/TALISMAN92","1","0","4","1190.78","","2350217","ecf16faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"CGG","2013-04-08 00:00:00.0000000","2013-04-19 00:00:00.0000000","","28","MITRA","PSTM","Time","Processing","P2MTC3","MITRA13.46/07.2D/MITRA13","1","0","4","67.3","","2350216","ebf16faf-95fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
