"cr286_crs_id","importsequencenumber","cr286_latitude","cr286_line_id","cr286_longitude","cr286_shotpoint_id","cr286_shotpoint_name","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_2d_seismic_shotpointid","owningbusinessunit"
"WGS84_UTM_ZONE_49N","","9","","105.68","SP013093","2100","1","0","","","2404287","12af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","8.99","","105.7","SP013094","2160","1","0","","","2404286","11af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.02","","105.64","SP013091","1900","1","0","","","2404285","10af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.01","","105.66","SP013092","2000","1","0","","","2404284","0faf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.04","","105.63","SP013090","1800","1","0","","","2404283","0daf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.05","","105.61","SP013089","1700","1","0","","","2404282","0eaf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.06","","105.59","SP013088","1600","1","0","","","2404281","0caf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.09","","105.54","SP013085","1353","1","0","","","2404280","0baf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.08","","105.55","SP013086","1400","1","0","","","2404279","09af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.07","","105.57","SP013087","1500","1","0","","","2404278","0aaf00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.56","","106.45","SP013083","900","1","0","","","2404277","06af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.6","","106.43","SP013081","700","1","0","","","2404276","08af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.54","","106.46","SP013084","1000","1","0","","","2404275","07af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.58","","106.44","SP013082","800","1","0","","","2404274","05af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.44","","106.46","SP013077","1400","1","0","","","2404273","04af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.62","","106.42","SP013080","600","1","0","","","2404272","02af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.63","","106.42","SP013079","569","1","0","","","2404271","03af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.44","","106.46","SP013078","1426","1","0","","","2404270","01af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.48","","106.44","SP013075","1200","1","0","","","2404269","fdae00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.5","","106.42","SP013074","1100","1","0","","","2404268","00af00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.52","","106.41","SP013073","1000","1","0","","","2404267","ffae00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.46","","106.45","SP013076","1300","1","0","","","2404266","feae00c8-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.58","","106.38","SP013070","700","1","0","","","2404265","886108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.56","","106.39","SP013071","800","1","0","","","2404264","8b6108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.54","","106.4","SP013072","900","1","0","","","2404263","8a6108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.6","","106.37","SP013069","600","1","0","","","2404262","896108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.53","","106.37","SP013065","1300","1","0","","","2404261","856108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.62","","106.36","SP013068","501","1","0","","","2404260","876108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.52","","106.38","SP013066","1400","1","0","","","2404259","866108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.51","","106.39","SP013067","1452","1","0","","","2404258","846108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.57","","106.34","SP013063","1100","1","0","","","2404257","806108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.53","","106.39","SP013061","1448","1","0","","","2404256","836108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.55","","106.36","SP013064","1200","1","0","","","2404255","826108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.59","","106.32","SP013062","1001","1","0","","","2404254","816108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.56","","106.37","SP013059","1300","1","0","","","2404253","7d6108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.54","","106.38","SP013060","1400","1","0","","","2404252","7e6108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.58","","106.36","SP013058","1200","1","0","","","2404251","7f6108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.6","","106.35","SP013057","1100","1","0","","","2404250","7c6108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.44","","106.39","SP013053","1900","1","0","","","2404249","786108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.62","","106.34","SP013056","1001","1","0","","","2404248","7a6108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.42","","106.4","SP013054","2000","1","0","","","2404247","796108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.41","","106.41","SP013055","2058","1","0","","","2404246","7b6108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.51","","106.34","SP013049","1500","1","0","","","2404245","766108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_49N","","9.5","","106.35","SP013050","1600","1","0","","","2404244","756108c2-9cfa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
