"cr286_active_channel","cr286_cable_length_m","cr286_cource_type","cr286_date_of_acquisition_commence","cr286_date_of_acquisition_completion","cr286_fold_coverage_m","cr286_group_interval_m","cr286_gun_depth_m","importsequencenumber","cr286_operator_id","cr286_record_length_ms","cr286_recording_format","cr286_remarks","cr286_sample_rate_ms","cr286_seismic_3d_survey_id","cr286_seismic_3d_survey_name","cr286_shotpoint_interval_m","cr286_source","statuscode","statecode","cr286_survey_area_km2","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_acquisitionid","cr286_water_depth_from_m","cr286_water_depth_to_m","owningbusinessunit"
"","","","","","","","","","VSP","","","","","D3CL41","VSP06.RONG.3D","","","1","0","","","","2405231","49d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","","","","","","","VSP","","","","","D3CL42","VSP97.RONG.3D","","","1","0","","","","2405230","4bd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","","","","","","","VSP","","","","","D3NCS19","VSP2014.12/11.3D","","","1","0","","","","2405229","4ad4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","","","","","","","PVEP_POC","","","","","D3CL40","PVEP2015.09-2/09.3D","","","1","0","","","","2405228","48d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","","","","","","","CHEVRON","","","","","D3MTC10","CHEVRON07.52-97.3D","","","1","0","","","","2405227","46d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","","","","","","","PVEP_POC","","","","","D3CL39","PVEP2014.09-2/09.3D","","","1","0","","","","2405226","44d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","","","","","","","HOANG_LONG_JOC","","","","","D3CL37","HOANGLONG02.16-1.3D","","","1","0","","","","2405225","47d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","","","","","","","PVEP_POC","","","","","D3CL38","PVEP09-2/10_01/10_02/10.3D","","","1","0","","","","2405224","45d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","","","","","","","BP","","","","","D3NCS18","BP00.05-2.3D","","","1","0","","","","2405223","43d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"3840","6000","","2015-05-28 00:00:00.0000000","2015-06-14 00:00:00.0000000","","12.5","7","","MITRA","8050","Seg-D","","2","D3PK1","MITRA16.127.3D","25","FBCA012769","1","0","580","4","","2405222","40d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"4800","5987","Airgun","2008-08-01 00:00:00.0000000","2008-10-01 00:00:00.0000000","60","12.5","6","","BPVN","8000","Seg-D","","2","D3NCS16","BP10.06.1.PLD.3D","25","BC_BP06_605","1","0","400","4","","2405221","42d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"4800","6000","Airgun","2008-08-25 00:00:00.0000000","2008-10-11 00:00:00.0000000","60","12.5","6","","BPVN","8000","Seg-D","","2","D3NCS17","BP09.05/2-06/1.3D","25","FBCA012720","1","0","1850","4","","2405220","41d4e406-d0fa-ee11-9f89-000d3aa02f9f","150","800","bdc98465-7de8-ee11-a203-00224856dfbe"
"720","3000","Bolt Airgun","1993-04-30 00:00:00.0000000","1993-05-28 00:00:00.0000000","30","12.5","6","","BPVN","7000","Seg-D","","4","D3NCS15","BP95.06.3D (LAN TAY)","25","BC_BP06_238.1","1","0","450","4","","2405219","3ed4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","Sleeve Airgun","1994-09-01 00:00:00.0000000","","24","12.5","4","","BPVN","3000","Seg-D","","2","D3NCS14","BP95.06.3D (LAN TAY-Medium Resolution)","12.5","BC_BP06_238","1","0","62.12","4","","2405218","3fd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"4320","4500","Airgun","2001-04-27 00:00:00.0000000","2001-06-09 00:00:00.0000000","90","12.5","6","","BPVN","6656","Seg-D","","2","D3NCS12","BP01.05/2-05/3.3D","25","FBCA001495","1","0","1200","4","","2405217","3dd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","3600","Sleeve Airgun","1994-08-20 00:00:00.0000000","1994-09-20 00:00:00.0000000","36","12.5","6","","BPVN","6000","Seg-D","","4","D3NCS13","BP95.06.3D (LAN DO)","25","BC_BP06_244","1","0","407","4","","2405216","3cd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"720","3000","Bolt Airgun","1993-04-30 00:00:00.0000000","1993-05-27 00:00:00.0000000","","12.5","6","","BPVN","7000","Seg-D","","4","D3NCS10","BP00.06-1.3D","25","BC_BP06_249","1","0","","4","","2405215","3bd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","1993-03-14 00:00:00.0000000","1993-03-18 00:00:00.0000000","","","","","BPVN","","","","","D3NCS9","BP93.06.3D","","FBCA000623","1","0","","4","","2405214","38d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"960","4000","Airgun","1994-09-01 00:00:00.0000000","1994-10-01 00:00:00.0000000","40","12.5","6","","AEDC","8000","Seg-D","","2","D3NCS8","AEDC94.05.3.3D","25","BC_AEDC05.3_053","1","0","","4","","2405213","3ad4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"960","4000","Sleeve Airgun","1994-04-11 00:00:00.0000000","1994-05-02 00:00:00.0000000","40","12.5","6","","BPVN","6500","Seg-D","","4","D3NCS11","BP94.05/2.3D","25","BCA003340","1","0","165","4","","2405212","39d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"2160","4500","","2008-09-17 00:00:00.0000000","2008-11-08 00:00:00.0000000","60","12.5","5","","MITRA","6144","Seg-Y","","2","D3NCS7","MITRA09.28-29/03.3D","18.75","FBCA010944","1","0","1531.2","4","","2405211","36d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"2880","6000","Airgun","2007-07-01 00:00:00.0000000","2007-08-29 00:00:00.0000000","","12.5","6","","VSP","7000","Seg-D","Area C","2","D3NCS5","VSP08.04-3.3D","25","FBCA010100","1","0","456.5","4","","2405210","37d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"3840","6000","Airgun","2007-10-11 00:00:00.0000000","2007-10-20 00:00:00.0000000","","12.5","6","","VSP","7168","Seg-D","Area B","2","D3NCS4","VSP08.04-3.3D","25","FBCA010100","1","0","229.5","4","","2405209","34d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"3840","6000","Airgun","2010-08-12 00:00:00.0000000","2010-09-24 00:00:00.0000000","60","12.5","6","","VSP","7050","Seg-D","","2","D3NCS6","VSP12.04-1.3D","25","FBCA011514","1","0","1669","4","","2405208","35d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"3840","6000","Airgun","2007-09-22 00:00:00.0000000","2007-10-10 00:00:00.0000000","","12.5","6","","VSP","7168","Seg-D","Area A","2","D3NCS3","VSP08.04-3.3D","25","FBCA010100","1","0","388.3","4","","2405207","30d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"2160","4500","Airgun","2004-03-01 00:00:00.0000000","2004-03-18 00:00:00.0000000","60","12.5","6","","TRUONG_SON_JOC","6000","Seg-D","","2","D3MTC9","TRUONGSON04.46-02.3D","18.75","BC_Tr.Son.JOC46#02_053","1","0","306.79","4","","2405206","33d4e406-d0fa-ee11-9f89-000d3aa02f9f","42","52","bdc98465-7de8-ee11-a203-00224856dfbe"
"2880","6000","Flip Flop 2 Guns","2013-06-01 00:00:00.0000000","2020-07-13 00:00:00.0000000","80","12.5","6","","PVEP_POC","6000","Seg-D","","2","D3NCS1","PVEP.POC13.05-1a.3D","18.75","FBCA013050","1","0","487","4","","2405205","31d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"3840","6000","Airgun","2002-03-27 00:00:00.0000000","2002-04-21 00:00:00.0000000","60","12.5","6","","VSP","7168","Seg-D","","2","D3NCS2","VSP2002.TU-MC.04-3.3D","25","FBCA011317","1","0","300","4","","2405204","32d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"1920","6000","","2011-04-26 00:00:00.0000000","2011-05-17 00:00:00.0000000","80","12.5","5","","MITRA","7250","Seg-D","","2","D3MTC8","MITRA2011.45.3D","18.75","FBCA011235","1","0","275","4","","2405203","2fd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"1920","6000","","2010-09-26 00:00:00.0000000","2010-10-24 00:00:00.0000000","80","12.5","5","","MITRA","7050","Seg-D","","2","D3MTC7","MITRA2010.46/07.3D","18.75","FBCA011184","1","0","387","4","","2405202","2ed4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
