"cr286_crs_id","importsequencenumber","cr286_point_id","cr286_point_name","cr286_seismic_3d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_coordinateid","cr286_x","cr286_y","owningbusinessunit"
"WGS84_UTM_ZONE_48N","","R000227","Coordinate of Point 10","D3CL24","1","0","","","2405607","c1d5e406-d0fa-ee11-9f89-000d3aa02f9f","951000","1204701","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000225","Coordinate of Point 9","D3CL24","1","0","","","2405606","bfd5e406-d0fa-ee11-9f89-000d3aa02f9f","944047","1193129","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000226","Coordinate of Point 10","D3CL13","1","0","","","2405605","c0d5e406-d0fa-ee11-9f89-000d3aa02f9f","886000","1192000","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000222","Coordinate of Point 8","D3MTC4","1","0","","","2405604","bed5e406-d0fa-ee11-9f89-000d3aa02f9f","290908","867070","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000223","Coordinate of Point 9","D3CL2","1","0","","","2405603","bcd5e406-d0fa-ee11-9f89-000d3aa02f9f","858818","1148027","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000224","Coordinate of Point 9","D3CL13","1","0","","","2405602","bbd5e406-d0fa-ee11-9f89-000d3aa02f9f","900000","1190000","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000221","Coordinate of Point 8","D3CL26","1","0","","","2405601","bdd5e406-d0fa-ee11-9f89-000d3aa02f9f","879961","1075427","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000220","Coordinate of Point 8","D3CL24","1","0","","","2405600","bad5e406-d0fa-ee11-9f89-000d3aa02f9f","935790","1198076","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000218","Coordinate of Point 8","D3CL3","1","0","","","2405599","b9d5e406-d0fa-ee11-9f89-000d3aa02f9f","782000","1080000","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000219","Coordinate of Point 8","D3CL13","1","0","","","2405598","b7d5e406-d0fa-ee11-9f89-000d3aa02f9f","904898","1185122","bdc98465-7de8-ee11-a203-00224856dfbe"
