"cr286_area_km2","cr286_contractor_id","cr286_date_of_processing_commence","cr286_date_of_processing_completion","importsequencenumber","cr286_operator_id","cr286_processing_grid_m","cr286_processing_result","cr286_processing_type","cr286_remarks","cr286_seismic_3d_processing_id","cr286_seismic_3d_processing_name","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_processingid","owningbusinessunit"
"400","WESTERN_GECO","2009-06-01 00:00:00.0000000","2009-10-30 00:00:00.0000000","","BPVN","12.5x12.5","Final Kirchhoff Migrated Depth Stack","Depth","","P3SH1","PETRONAS05.106.3DPETRONAS05","1","0","4","","2377305","ed034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","FURGO_SEISMIC","2009-02-01 00:00:00.0000000","","","BPVN","12.5x25","Pre-stack Time Migration","Time","","P3SH2","PETRONAS05.102.3D/PETRONAS05","1","0","4","","2377304","ee034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"62.12","GECO_PRAKLA","1994-10-01 00:00:00.0000000","1994-11-01 00:00:00.0000000","","BPVN","","Final Migration","Time","","P3NCS15","VSP11.TU-MC.04-3.3D/VSP2002","1","0","4","","2377303","eb034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"330","GOLDEN_PAC","2001-02-08 00:00:00.0000000","2001-03-26 00:00:00.0000000","","BPVN","12.5x12.5","Final Migrated Stack","Time","","P3NCS17","AEDC94.05.3.3D/AEDC05","1","0","4","","2377302","ec034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","GECO_PRAKLA","1993-04-01 00:00:00.0000000","1994-02-01 00:00:00.0000000","","BPVN","12.5x37.5","Migration","Time","","P3NCS16","VSP08.04-3.3D/VSP08","1","0","4","","2377301","e9034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","WESTERN_GECO","2007-02-20 00:00:00.0000000","2007-10-19 00:00:00.0000000","","BPVN","12.5x12.5","Pre-stack Depth Migration","Depth","","P3NCS18","BP93.06.3D/BP93","1","0","4","","2377300","ea034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"1200","GOLDEN_PAC","2001-05-15 00:00:00.0000000","2001-09-26 00:00:00.0000000","","BPVN","12.5x12.5","Final Migration","Time","","P3NCS12","BP09.05-2-06/1.3D/BP09","1","0","4","","2377299","e5034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","GOLDEN_PAC","2000-06-01 00:00:00.0000000","2000-12-01 00:00:00.0000000","","BPVN","12.5X12.5","Final Migrated Stack","Time","","P3NCS11","BP10.06.1.PLD.3D/BP10","1","0","4","","2377298","e6034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"405","WESTERN_GECO","2007-10-18 00:00:00.0000000","2008-07-14 00:00:00.0000000","","BPVN","12.5x12.5","Final Depth Stack","Depth","","P3NCS14","VSP2014.12/11.3D/VSP96/VSP07/VSP13","1","0","4","","2377297","e8034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"407","GECO_PRAKLA","1994-12-01 00:00:00.0000000","1995-07-01 00:00:00.0000000","","BPVN","","Final Migration","Time","","P3NCS13","BP00.05-2.3D/BP93/BP94","1","0","4","","2377296","e7034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","GECO_PRAKLA","1994-05-03 00:00:00.0000000","1994-05-19 00:00:00.0000000","","BPVN","12.5x37.5","Migration","Time","","P3NCS10","BP07.06.3D (LAN TAY)/BP95","1","0","4","","2377295","e4034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"330","GOLDEN_PAC","2001-02-08 00:00:00.0000000","2001-03-26 00:00:00.0000000","","BPVN","12.5x12.5","Final Migrated Stack","Time","","P3NCS9","BP01.06.3D (LAN TAY)/BP95","1","0","4","","2377294","e3034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","ENSIGN_GEO","1993-04-01 00:00:00.0000000","","","BPVN","","Migration","Time","","P3NCS8","BP95.06.3D (LAN TAY)/BP95","1","0","4","","2377293","e2034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","WESTERN_GEO","1994-10-01 00:00:00.0000000","1995-05-01 00:00:00.0000000","","AEDC","","Post Migration","Time","","P3NCS7","BP95.06.3D (LAN TAY-Medium Resolution)/BP95","1","0","4","","2377292","e1034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"275","CGG_VERITAS","2011-07-22 00:00:00.0000000","2011-11-11 00:00:00.0000000","","MITRA","12.5x12.5","Pre-stack Time Migration","Time","","P3NCS3","BP94.05-2.3D/BP94","1","0","4","","2377291","e0034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"324","PARADIGM","2005-03-14 00:00:00.0000000","2005-04-20 00:00:00.0000000","","TRUONG_SON_JOC","12.5x25","","","","P3NCS6","BP07.06.3D (LAN DO)/BP95","1","0","4","","2377290","df034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"580","CGG","2015-07-15 00:00:00.0000000","2016-05-03 00:00:00.0000000","","MITRA","12.5x12.5","Anisotropic Pre-stack Depth Migration","Depth","","P3NCS5","BP95.06.3D (LAN DO)/BP95","1","0","4","","2377289","de034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"1531.2","CGG_VERITAS","2009-01-05 00:00:00.0000000","2009-09-24 00:00:00.0000000","","MITRA","12.5x12.5","Pre-stack Time Migration","Time","","P3NCS4","BP01.05-2-05/3.3D/BP01","1","0","4","","2377288","dd034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"320","CGG_VERITAS","2013-03-11 00:00:00.0000000","2013-08-27 00:00:00.0000000","","MITRA","12.5x12.5","Pre-stack Depth Migration","Depth","","P3MTC14","MITRA16.127.3D/MITRA16","1","0","4","","2377287","da034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"618.53","CGG","2012-09-21 00:00:00.0000000","2013-02-06 00:00:00.0000000","","MITRA","12.5x12.5","Pre-stack Time Migration","Time","","P3MTC13","MITRA09.28-29/03.3D/MITRA09","1","0","4","","2377286","dc034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"387","CGG_VERITAS","2010-12-02 00:00:00.0000000","2011-05-20 00:00:00.0000000","","MITRA","12.5x12.5","Pre-stack Time Migration","Time","","P3NCS2","BP01.06-1.3D/BP00","1","0","4","","2377285","db034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"320","CGG_VERITAS","2014-07-07 00:00:00.0000000","2014-10-07 00:00:00.0000000","","MITRA","12.5x12.5","Pre-stack Depth Migration","Depth","","P3NCS1","PVEP.POC13.05-1a.3D/PVEP.POC13","1","0","4","","2377284","d9034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","VERITAS_DGC_AP","2004-07-01 00:00:00.0000000","2005-12-01 00:00:00.0000000","","TRUONG_SON_JOC","12.5x12.5","Anisotropic Pre-stack Time Migration","Time","","P3MTC11","MITRA2011.45.3D/MITRA11","1","0","4","","2377283","d8034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","FAIRFIELD_VN","2010-10-01 00:00:00.0000000","2011-05-01 00:00:00.0000000","","MITRA","12.5x12.5","Pre-stack Time Migration","Time","","P3MTC12","TRUONGSON04.46-02.3D","1","0","4","","2377282","d5034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"466","GECO_PRAKLA","1997-06-16 00:00:00.0000000","1997-10-27 00:00:00.0000000","","TRUONG_SON_JOC","","Final Migration","Time","","P3MTC10","MITRA2010.46/07.3D/MITRA10","1","0","4","","2377281","d6034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"4150.5","CGG_VERITAS","2006-04-01 00:00:00.0000000","2007-06-01 00:00:00.0000000","","CHEVRON","12.5x12.5","Pre-stack Time Migration","Time","","P3MTC9","MITRA14.51W.3D/MITRA13","1","0","4","","2377280","d7034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","GOLDEN_PAC","1998-12-15 00:00:00.0000000","1999-12-16 00:00:00.0000000","","UNOCAL_VN_EXP","12.5x12.5","Migration","Time","","P3MTC8","MITRA13.51W.3D/MITRA13","1","0","4","","2377279","d4034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"1000","FAIRFIELD_VN","2014-10-24 00:00:00.0000000","2015-03-01 00:00:00.0000000","","VSP","12.5x12.5","Pre-stack Depth Migration","Depth","","P3MTC6","MITRA11.51.3D/MITRA11","1","0","4","","2377278","d2034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","WESTERN_GECO","2012-09-01 00:00:00.0000000","2013-02-01 00:00:00.0000000","","VSP","25x12.5","Pre-stack Depth Migration","Depth","","P3MTC5","TRUONGSON04.46.3D/FINA97","1","0","4","","2377277","d1034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","VERITAS_DGC_AP","1998-11-01 00:00:00.0000000","1998-12-01 00:00:00.0000000","","UNOCAL_VN_EXP","12.5x12.5","Migration 3D","Time","","P3MTC7","MITRA13.51E.3D/MITRA13","1","0","4","","2377276","d3034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"75","GOLDEN_PAC","","2004-02-01 00:00:00.0000000","","VSP","12.5x12.5","Pre-stack Time Migration","Time","","P3MTC3","UNOCAL98.52/97.3D/UNOCAL98","1","0","4","","2377275","cd034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","GOLDEN_PAC","2003-12-01 00:00:00.0000000","","","VSP","12.5x25","Pre-stack Time Migration","Time","","P3MTC4","FINA97.46.3D/FINA97","1","0","4","","2377274","d0034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","GECO_PRAKLA","1991-10-01 00:00:00.0000000","1991-12-01 00:00:00.0000000","","VSP","","Final Migration","Time","","P3MTC2","CHEVRON07.52-97.3D/CHEVRON","1","0","4","","2377273","cf034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
