InvestorID,Investor
INV001,Enterprize Energy Group
INV002,Cuong Thinh Group
INV003,"Copenhagen Infrastructure Partners,AsiaPetro,Novasia Energy Company Ltd"
INV005,Bamboo Capital Group (previously CP Super Wind Energy Công Lý 1)
INV008,Gia Lai Electricity Joint Stock Company (GEC)
INV009,Song Lam Investment Hydropower JSC (CTCP Đầu Tư Thủy Điện Sông Lam)
INV010,WTO: Trading Construction Works Organization
INV012,Bắc Phương Energy Joint Stock Company
INV013,Phuong Anh Group
INV014,"Cong Ly Construction-Trading-Tourism Co., Ltd. (Công Ty TNHH XD - TM -DL Công Lý),Super Wind Energy Company Limited,Super Wind Energy Công Lý Bạc Liêu"
INV015,"Phu Cuong Group,Mainstream Renewable Power"
INV017,Soc Trang Energy Joint Stock Company
INV018,Trungnam Group (Công ty Cổ phần Đầu tư Xây dựng Trung Nam)
INV019,"Climate Investor One,Samtan Co., Ltd (ST International)"
INV020,"Nexif Energy,Ratch"
INV021,Ben Tre Renewable Energy - BTRE (Công ty cổ phần năng lượng tái tạo Bến Tre)
INV022,"PECC2 - Power Engineering Consulting Joint Stock Company 2,Ca Mau Investment Renewable Power Joint Stock Company (CMC),Phan Vu Group"
INV023,"Corio Generation Limited,FECON Power JSC"
INV024,HBRE - H & Brothers Renewable Energy
INV026,Corio Generation Limited
INV027,T&T Group JSC; Orsted A/S
INV030,Orsted
