ProjectID,Project_name,Geojson,Capacity_MW,Status,TechID,InvestorID
PRJ001,Thang Long Wind,"{'type':'Feature','properties':{'Project_Name':'ThangLong Wind','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[108.322935342818,10.4566316736698]}}","3,400",Pre-Feseability Study,TECH01,INV001
PRJ002,Ke Ga A Wind Farm,"{'type':'Feature','properties':{'Project_Name':'Ke Ga A Wind Farm','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[108.168570974686,10.7206453171577]}}",900,Concept/Early Planning,TECH01,INV002
PRJ003,La Gan Wind Farm,"{'type':'Feature','properties':{'Project_Name':'La Gan Wind Farm','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[108.714105339784,10.8770939179254]}}","3,500",Concept/Early Planning,TECH01,INV003
PRJ004,Ke Ga B Wind Farm,"{'type':'Feature','properties':{'Project_Name':'Ke Ga B Wind Farm','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[108.207480512699,10.8222899523897]}}","4,950",Concept/Early Planning,TECH01,INV002
PRJ005,Khai Long (intertidal),"{'type':'Feature','properties':{'Project_Name':'Khai Long (intertidal)','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[104.788657,8.515702]}}",300,Concept/Early Planning,TECH01,INV005
PRJ006,Ngoc Hien,"{'type':'Feature','properties':{'Project_Name':'Ngoc Hien','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[104.869139,8.538885]}}","3,000",Development Zone,TECH01,INV003
PRJ007,Tan An 1 - 30 MW phase 2021-2025 (intertidal),"{'type':'Feature','properties':{'Project_Name':'Tan An 1 - 30 MW phase 2021-2025 (intertidal)','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[105.148268271298,8.64129304753884]}}",30,Under Construction,TECH01,INV009
PRJ008,Tan An 1 - phase 1 (intertidal),"{'type':'Feature','properties':{'Project_Name':'Tan An 1 - phase 1 (intertidal)','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[105.157673822139,8.6590184344324]}}",25,Fully Commissioned,TECH01,INV008
PRJ009,Tan An 1 - 45 MW phase 2021-2025 (intertidal),"{'type':'Feature','properties':{'Project_Name':'Tan An 1 - 45 MW phase 2021-2025 (intertidal)','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[105.172957842255,8.66453928609911]}}",45,Fully Commissioned,TECH01,INV009
PRJ010,Ca Mau (intertidal) phase 1,"{'type':'Feature','properties':{'Project_Name':'Ca Mau (intertidal) phase 1','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[105.372237950693,8.87572314489605]}}",190,Fully Commissioned,TECH01,INV010
PRJ011,Tan Thuan (intertidal) - phase two,"{'type':'Feature','properties':{'Project_Name':'Tan Thuan (intertidal) - phase two','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[105.421249688277,8.97488260038911]}}",50,Fully Commissioned,TECH01,INV022
PRJ012,Dong Hai I,"{'type':'Feature','properties':{'Project_Name':'Dong Hai I','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[105.500016,9.063952]}}",100,Fully Commissioned,TECH01,INV012
PRJ013,Hoa Binh 2 (intertidal),"{'type':'Feature','properties':{'Project_Name':'Hoa Binh 2 (intertidal)','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[105.610683360679,9.0962180253499]}}",50,Fully Commissioned,TECH01,INV013
PRJ014,Bac Lieu - phase III (intertidal),"{'type':'Feature','properties':{'Project_Name':'Bac Lieu - phase III (intertidal)','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[105.804024,9.183878]}}",142,Under Construction,TECH01,INV014
PRJ015,Phu Cuong 1,"{'type':'Feature','properties':{'Project_Name':'Phu Cuong 1','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[105.973311434109,9.16151316329655]}}",400,Consent Authorised,TECH01,INV015
PRJ016,Phu Cuong 2+,"{'type':'Feature','properties':{'Project_Name':'Phu Cuong 2+','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[106.244314,9.343636]}}","1,000",Concept/Early Planning,TECH01,INV015
PRJ017,Soc Trang 7 - phase 1 (intertidal),"{'type':'Feature','properties':{'Project_Name':'Soc Trang 7 - phase 1 (intertidal)','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[106.173749541735,9.33906957372287]}}",30,Fully Commissioned,TECH01,INV017
PRJ018,V1-7 - Dong Hai 1 - Trung Nam (intertidal),"{'type':'Feature','properties':{'Project_Name':'V1-7 - Dong Hai 1 - Trung Nam (intertidal)','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[106.414375,9.522595]}}",100,Fully Commissioned,TECH01,INV018
PRJ019,V1-1 - Truong Long Hoa (intertidal),"{'type':'Feature','properties':{'Project_Name':'V1-1 - Truong Long Hoa (intertidal)','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[106.579926041386,9.67899370205741]}}",48,Fully Commissioned,TECH01,INV019
PRJ020,Ben Tre 2 (intertidal) - Nexif 2 + 3,"{'type':'Feature','properties':{'Project_Name':'Ben Tre 2 (intertidal) - Nexif 2 + 3','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[106.726257554027,9.81117203329039]}}",50,Concept/Early Planning,TECH01,INV020
PRJ021,Ben Tre 7 (intertidal),"{'type':'Feature','properties':{'Project_Name':'Ben Tre 7 (intertidal)','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[106.686605,9.970817]}}",81,Concept/Early Planning,TECH01,INV021
PRJ022,Tan Phu Dong 1 (intertidal),"{'type':'Feature','properties':{'Project_Name':'Tan Phu Dong 1 (intertidal)','Technology':'Wind Power','Type':'Offshore},'geometry':{'type':'Point','coordinates':[106.897735355733,10.2027739184265]}}",100,Fully Commissioned,TECH01,INV022
